date,ret
2020-01-02,72.62083435058594
2020-01-03,71.91482543945312
2020-01-06,72.48785400390625
2020-01-07,72.14694213867188
2020-01-08,73.3074951171875
2020-01-09,74.86463928222656
2020-01-10,75.03385925292969
2020-01-13,76.63691711425781
2020-01-14,75.6020736694336
2020-01-15,75.278076171875
2020-01-16,76.2210464477539
2020-01-17,77.06487274169922
2020-01-21,76.54263305664062
2020-01-22,76.81587219238281
2020-01-23,77.18578338623047
2020-01-24,76.9633560180664
2020-01-27,74.70021057128906
2020-01-28,76.81341552734375
2020-01-29,78.42133331298828
2020-01-30,78.30768585205078
2020-01-31,74.83560943603516
2020-02-03,74.6301040649414
2020-02-04,77.09390258789062
2020-02-05,77.72257232666016
2020-02-06,78.63166809082031
2020-02-07,77.5628433227539
2020-02-10,77.93122863769531
2020-02-11,77.46106719970703
2020-02-12,79.30062103271484
2020-02-13,78.73587799072266
2020-02-14,78.75525665283203
2020-02-18,77.31324005126953
2020-02-19,78.43293762207031
2020-02-20,77.62828063964844
2020-02-21,75.87117767333984
2020-02-24,72.26725006103516
2020-02-25,69.81941223144531
2020-02-26,70.92699432373047
2020-02-27,66.2906265258789
2020-02-28,66.25186157226562
2020-03-02,72.41996765136719
2020-03-03,70.11994934082031
2020-03-04,73.3724365234375
2020-03-05,70.9924545288086
2020-03-06,70.04965209960938
2020-03-09,64.50929260253906
2020-03-10,69.15534973144531
2020-03-11,66.75354766845703
2020-03-12,60.16131591796875
2020-03-13,67.36914825439453
2020-03-16,58.70231246948242
2020-03-17,61.283447265625
2020-03-18,59.783241271972656
2020-03-19,59.325172424316406
2020-03-20,55.55888748168945
2020-03-23,54.378578186035156
2020-03-24,59.834136962890625
2020-03-25,59.50452423095703
2020-03-26,62.635826110839844
2020-03-27,60.04256820678711
2020-03-30,61.75605392456055
2020-03-31,61.630027770996094
2020-04-01,58.387245178222656
2020-04-02,59.36152648925781
2020-04-03,58.508426666259766
2020-04-06,63.612548828125
2020-04-07,62.87575912475586
2020-04-08,64.48503875732422
2020-04-09,64.95037841796875
2020-04-13,66.2251968383789
2020-04-14,69.56978607177734
2020-04-15,68.93478393554688
2020-04-16,69.48252868652344
2020-04-17,68.53972625732422
2020-04-20,67.1170883178711
2020-04-21,65.04248809814453
2020-04-22,66.91592407226562
2020-04-23,66.6565933227539
2020-04-24,68.58094024658203
2020-04-27,68.6294174194336
2020-04-28,67.51698303222656
2020-04-29,69.73460388183594
2020-04-30,71.2057113647461
2020-05-01,70.05935668945312
2020-05-04,71.05059814453125
2020-05-05,72.11700439453125
2020-05-06,72.86105346679688
2020-05-07,73.61480712890625
2020-05-08,75.36695098876953
2020-05-11,76.5528793334961
2020-05-12,75.67799377441406
2020-05-13,74.76424407958984
2020-05-14,75.22359466552734
2020-05-15,74.77885437011719
2020-05-18,76.54071807861328
2020-05-19,76.09842681884766
2020-05-20,77.57841491699219
2020-05-21,77.00003814697266
2020-05-22,77.49578857421875
2020-05-26,76.97086334228516
2020-05-27,77.30621337890625
2020-05-28,77.34025573730469
2020-05-29,77.26492309570312
2020-06-01,78.21512603759766
2020-06-02,78.57720947265625
2020-06-03,79.00977325439453
2020-06-04,78.3293228149414
2020-06-05,80.56023406982422
2020-06-08,81.03652954101562
2020-06-09,83.59552764892578
2020-06-10,85.74620819091797
2020-06-11,81.6294937133789
2020-06-12,82.33426666259766
2020-06-15,83.35250854492188
2020-06-16,85.56151580810547
2020-06-17,85.44245147705078
2020-06-18,85.4764633178711
2020-06-19,84.98799896240234
2020-06-22,87.21163177490234
2020-06-23,89.07310485839844
2020-06-24,87.50081634521484
2020-06-25,88.66241455078125
2020-06-26,85.93818664550781
2020-06-29,87.91879272460938
2020-06-30,88.65267944335938
2020-07-01,88.48501586914062
2020-07-02,88.48501586914062
2020-07-06,90.85200500488281
2020-07-07,90.57009887695312
2020-07-08,92.67950439453125
2020-07-09,93.07805633544922
2020-07-10,93.24085998535156
2020-07-13,92.81073760986328
2020-07-14,94.34659576416016
2020-07-15,94.9954605102539
2020-07-16,93.8265151977539
2020-07-17,93.63697052001953
2020-07-20,95.61027526855469
2020-07-21,94.29068756103516
2020-07-22,94.55558013916016
2020-07-23,90.25173950195312
2020-07-24,90.02819061279297
2020-07-27,92.16187286376953
2020-07-28,90.64785766601562
2020-07-29,92.38545989990234
2020-07-30,93.50332641601562
2020-07-31,103.29206848144531
2020-08-03,105.894775390625
2020-08-04,106.60194396972656
2020-08-05,106.98835754394531
2020-08-06,110.72109985351562
2020-08-07,108.20376586914062
2020-08-10,109.77647399902344
2020-08-11,106.51174926757812
2020-08-12,110.05159759521484
2020-08-13,111.99923706054688
2020-08-14,111.89942932128906
2020-08-17,111.60726165771484
2020-08-18,112.53727722167969
2020-08-19,112.6784896850586
2020-08-20,115.17877197265625
2020-08-21,121.11421203613281
2020-08-24,122.56277465820312
2020-08-25,121.55729675292969
2020-08-26,123.21034240722656
2020-08-27,121.73745727539062
2020-08-28,121.54025268554688
2020-08-31,125.66195678710938
2020-09-01,130.66737365722656
2020-09-02,127.96015930175781
2020-09-03,117.715576171875
2020-09-04,117.79346466064453
2020-09-08,109.86656188964844
2020-09-09,114.248779296875
2020-09-10,110.5190200805664
2020-09-11,109.06802368164062
2020-09-14,112.34008026123047
2020-09-15,112.51537322998047
2020-09-16,109.19461822509766
2020-09-17,107.45149230957031
2020-09-18,104.04312133789062
2020-09-21,107.19829559326172
2020-09-22,108.88302612304688
2020-09-23,104.31578063964844
2020-09-24,105.3869857788086
2020-09-25,109.3406982421875
